State,Bus_name,Bus_type,Departure,Arrival,Duration,Price,Ratings,Seats_Available,Route_link,Route_name
Kerala,MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09:00:00,1299,4.3,15,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10:00:00,1699,4.3,20,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,SAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,09:00:00,1800,4.4,11,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,AdSAAM BUS,VE A/C Sleeper (2+1),20:10,06:45,10:35:00,1800,4.3,9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08:25:00,1825,4.1,2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08:45:00,2299,4.1,8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,06:10,08:10:00,1499,4.4,1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09:00:00,1750,4.0,17,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,05:30,08:30:00,1999,3.8,2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,DLT BUS,A/C Sleeper (2+1),22:30,07:30,09:00:00,1399,3.8,13,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,DA Transports,A/C Sleeper (2+1),21:45,07:00,09:15:00,1899,3.8,12,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08:30:00,2399,4.1,8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,09:00:00,1499,3.7,8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,P K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,10:30:00,1400,3.6,4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,National travels and logistics,NON A/C Sleeper (2+1),22:45,06:30,07:45:00,1450,3.7,18,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09:45:00,1100,2.7,4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09:15:00,1300,3.2,5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,FAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09:00:00,2069,4.5,2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,MMK Travels,A/C Sleeper (2+1),22:10,06:40,08:30:00,1499,4.0,12,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08:15:00,1590,3.5,18,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,06:30,08:30:00,1300,2.9,2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,09:30:00,1900,3.4,4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Usha Transport,NON A/C Sleeper (1+2),22:30,07:28,08:58:00,1499,3.3,10,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,A1 Travels,A/C Seater / Sleeper (2+1),22:30,06:30,08:00:00,1200,2.2,13,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Kerala lines,Volvo Multi-Axle A/C Sleeper (2+1),23:00,08:30,09:30:00,1999,3.8,25,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,DA Transports,A/C Seater Push Back (2+2),21:45,07:00,09:15:00,1299,3.8,22,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,SAI TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:50,07:30,11:40:00,1499,5.0,25,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Sam Tourist,Volvo A/C Seater (2+2),22:30,07:30,09:00:00,1699,3.1,31,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Kyros Connect,A/C Semi Sleeper (2+2),23:15,09:15,10:00:00,1299,4.2,26,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Suraj Holidays,NON AC Seater / Sleeper 2+1,21:15,06:45,09:30:00,1750,3.9,14,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,A1 Travels,A/C Semi Sleeper (2+2),22:30,08:15,09:45:00,1200,3.2,34,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,J J YATRA,A/C Sleeper (2+1),21:30,06:45,09:15:00,1392,2.8,17,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Bharathi Travels,A/C Sleeper (2+1),23:45,08:00,08:15:00,1690,2.2,23,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),15:00,23:59,08:59:00,1424,3.3,27,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,LEGEND HOLIDAYS,Bharat Benz A/C Semi Sleeper (2+2),23:40,08:20,08:40:00,1699,5.0,19,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Hamsa Tours and Travels,NON A/C Sleeper (2+1),21:00,07:15,10:15:00,1899,4.1,4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08:15:00,1699,4.1,5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,DA Transports,A/C Sleeper (2+1),19:45,07:20,11:35:00,1799,3.8,17,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,DA Transports,NON A/C Sleeper (2+1),22:00,07:15,09:15:00,1700,3.8,11,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,National travels and logistics,NON A/C Sleeper (2+1),22:00,06:00,08:00:00,1450,3.6,16,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Sam Tours and Travels,A/C Classy Seater (2+2),20:00,08:15,12:15:00,1399,3.5,15,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Sam Tourist,NON AC Seater / Sleeper 2+1,22:45,07:45,09:00:00,1499,3.0,20,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Sri Tourist,A/C Sleeper (2+1),21:00,06:00,09:00:00,1999,2.5,31,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Bharathi Travels,A/C Sleeper (2+1),23:45,08:00,08:15:00,2490,2.2,30,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),22:00,06:30,08:30:00,1199,1.9,7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),23:00,07:30,08:30:00,1299,1.9,24,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,SURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:15,07:45,10:30:00,1399,3.5,32,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kerala,KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),13:32,22:32,09:00:00,432,4.4,4,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Kerala,KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,06:00,09:00:00,620,3.8,1,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Kerala,KSRTC (Kerala) - 2921,Super Fast Non AC Seater (2+3),21:51,06:56,09:05:00,466,3.4,25,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
